Tag 'synth_adsr.c' range is 0x8004F394 - 0x8004FA47
Tag 'osalloc.c' range is 0x800080B8 - 0x800087C3
[!] Function 0x800502F7 'sndSeqPlayEx' has multiple file tags: set(['s_data.c', 'synth.c'])
[!] Function 0x80050343 'salInitDspCtrl' has multiple file tags: set(['hw_dspctrl.c', 'synth.c'])
[!] Function 0x800508AB 'salInitHRTFBuffer' has multiple file tags: set(['hw_dspctrl.c', 'synth.c'])
[!] Function 0x800508E3 'salActivateStudio' has multiple file tags: set(['hw_dspctrl.c', 'synth.c'])
[!] Function 0x80050B1B 'salDeactivateStudio' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x80050B3B 'sal_setup_dspvol' has multiple file tags: set(['hw_dspctrl.c', 'synth.c'])
[!] Function 0x80050B6B 'sal_update_hostplayinfo' has multiple file tags: set(['hw_dspctrl.c', 'synth.c'])
[!] Function 0x80050BF3 'AddDpop' has multiple file tags: set(['hw_dspctrl.c', 'synth.c'])
[!] Function 0x80050C4F 'DoDepopFade' has multiple file tags: set(['hw_dspctrl.c', 'synth.c'])
[!] Function 0x80050CFF 'HandleDepopVoice' has multiple file tags: set(['hw_dspctrl.c', 'synth.c'])
[!] Function 0x80050E1F 'SortVoices' has multiple file tags: set(['hw_dspctrl.c', 'synth.c'])
[!] Function 0x80050F2B 'salBuildCommandList' has multiple file tags: set(['hw_dspctrl.c', 'synth.c'])
[!] Function 0x8005310B 'salSynthSendMessage' has multiple file tags: set(['hw_dspctrl.c', 'synth.c'])
[!] Function 0x80053153 'salActivateVoice' has multiple file tags: set(['hw_dspctrl.c', 'synth.c'])
[!] Function 0x800531FF 'salDeactivateVoice' has multiple file tags: set(['hw_dspctrl.c', 'synth.c'])
[!] Function 0x80053267 'salAddStudioInput' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x8005331F 'salRemoveStudioInput' has multiple file tags: set(['snd_synthapi.c', 'synth.c'])
[!] Function 0x800533C3 'salHandleAuxProcessing' has multiple file tags: set(['hw_dspctrl.c', 'synth.c'])
